date,tech price,is tech price up,non-tech price,is non-tech price up
1,100,False,100,False
0,101,True,101,True
1,100,False,100,False
2,99,False,99,False
3,98,False,98,False
4,99,True,97,False
5,98,False,96,False
6,97,False,95,False
7,98,True,94,False
8,97,False,93,False
9,98,True,92,False
10,97,False,91,False
11,96,False,90,False
12,97,True,89,False
13,96,False,90,True
14,95,False,89,False
15,94,False,88,False
16,93,False,87,False
17,92,False,86,False
18,91,False,85,False
19,90,False,84,False
20,89,False,83,False
21,88,False,82,False
22,87,False,81,False
23,86,False,80,False
24,85,False,79,False
25,84,False,78,False
26,83,False,77,False
27,82,False,76,False
28,81,False,75,False
29,82,True,74,False
30,81,False,73,False
31,80,False,72,False
32,79,False,71,False
33,78,False,70,False
34,77,False,71,True
35,76,False,70,False
36,75,False,69,False
37,76,True,68,False
38,75,False,67,False
39,74,False,66,False
40,73,False,65,False
41,74,True,64,False
42,73,False,63,False
43,72,False,62,False
44,71,False,61,False
45,72,True,60,False
46,71,False,59,False
47,72,True,60,True
48,71,False,59,False
49,70,False,58,False
50,71,True,57,False
51,70,False,56,False
52,69,False,55,False
53,70,True,56,True
54,69,False,55,False
55,70,True,54,False
56,71,True,53,False
57,72,True,52,False
58,71,False,51,False
59,72,True,50,False
60,71,False,49,False
61,70,False,48,False
62,71,True,47,False
63,70,False,46,False
64,69,False,47,True
65,70,True,46,False
66,69,False,45,False
67,68,False,44,False
68,67,False,43,False
69,66,False,44,True
70,65,False,43,False
71,66,True,42,False
72,65,False,41,False
73,64,False,40,False
74,63,False,39,False
75,64,True,38,False
76,63,False,37,False
77,62,False,38,True
78,63,True,37,False
79,62,False,36,False
80,61,False,35,False
81,60,False,34,False
82,59,False,33,False
83,58,False,32,False
84,57,False,31,False
85,56,False,32,True
86,55,False,31,False
87,54,False,30,False
88,55,True,29,False
89,56,True,28,False
90,55,False,27,False
91,54,False,26,False
92,55,True,27,True
93,54,False,28,True
94,53,False,27,False
95,52,False,26,False
96,51,False,25,False
97,52,True,24,False
